name;description;url
Comedy Central Pluto TV;Comedy Central, la marca #1 de comedia en el mundo, también es parte de Pluto TV. Si tienes ganas de reír ya no te quedan excusas. Disfruta las 24 hs de los mejores shows: Backdoor, Comedy Central Stand Up, Duelo de comediantes y mucho más.;https://pluto.tv/latam/live-tv/5ffcc21a432945000762d06b/details
Rookie Blue: Policías Novatos;Rookie Blue: Policías Novatos es una emocionante serie policial que sigue a jóvenes reclutas en su primer trabajo en la fuerza, enfrentando desafíos tanto en el deber como en sus vidas mientras forjan relaciones y luchan contra crímenes en la ciudad.;https://pluto.tv/latam/live-tv/64ff270f30ab3300084e259c/details
Yu-Gi-Oh;Un misterioso rompecabezas va a cambiar para siempre la vida de Yugi y lo llevará a un mundo repleto de magia, secretos y enfrentamientos. YU-GI-OH llegó a PlutoTV. Para que lo disfrutes todo el día.;https://pluto.tv/latam/live-tv/5fceaab478f2af00080ff51f/details
Pluto TV Animé Acción;Es hora de que el público más grande tenga su recompensa: PLUTO TV ANIME ACCIÓN, el canal para los que quieren revivir los clásicos favoritos del Dark Animé como Death Note, Naruto y Bleach. A prepararse porque la acción de estas historias comienza aquí.;https://pluto.tv/latam/live-tv/5e6a4d875d7ccf0007cc2cf1/details
Lucha Libre AAA;¡Mira la lucha mexicana de alto octanaje 24/7 en Lucha Libre AAA! Máscaras de colores, movimientos de alto vuelo y emoción internacional te asaltan con fuerza y rapidez en este canal salvaje y emocionante.;https://pluto.tv/latam/live-tv/5f99a772c54853000797bf18/details
Pluto TV Misterios;Si eres fan de las teorías conspirativas, este canal es para ti. Descubre toda la verdad sobre los secretos mejor guardados en Pluto TV Misterios.;https://pluto.tv/latam/live-tv/5dcde2f53449c50009b2b4dc/details
Franky Mostro;Descubre el universo de los motores junto al experto en autos Franky Mostro. Acompáñalo a recorrer el mundo, donde hará pruebas en todos los terrenos posibles, compartirá los mejores consejos sobre manejo, y nos mostrará los más increíbles talleres.;https://pluto.tv/latam/live-tv/656e465b9d5ac400083d2db9/details
MTV Drag;Disfruta MTV Drag PlutoTV, con RuPaul como anfitrión e inspiración en RuPaul's Drag Race, lo último en competencias de Drag Queen. Los concursantes drag queens más escandalosas, talentosas y hermosas, todas luchando por el título como la mejor Drag Queen.;https://pluto.tv/latam/live-tv/64510d3ad3fdde00080951f2/details
Pluto TV Vida Real;El mundo está lleno de dificultades y momentos tensos por enfrentar a diario, y todo queda registrado en Pluto TV Vida Real, un verdadero huracán de misterios médicos, rescates críticos o seguridad fronteriza.;https://pluto.tv/latam/live-tv/5df265697ec3510009df1ef0/details
Pluto TV Cine Familia;Pluto TV Cine Familia es el canal ideal para todos en casa. Tiene los mejores contenidos de Comedia, Animación, Cine de Entretenimiento y hasta Clásicos. Aquí la diversión y el entretenimiento familiar están asegurados todos los días del año.;https://pluto.tv/latam/live-tv/5dd6ddb30a1d8a000908ed4c/details
CSI: Miami;En CSI Miami sigue a un equipo de detectives forenses mientras resuelven crímenes en Miami. Liderados por Horatio Caine, el equipo utiliza la ciencia forense para recopilar pruebas y atrapar a los delincuentes.;https://pluto.tv/latam/live-tv/63eb9255c111bc0008fe6ec4/details
Pluto TV Series;Pluto TV Series es una colección de las mejores series de suspenso y drama de la actualidad. Historias que no te permitirán despegarte de la pantalla y finales sorprendentes que te dejarán con ganas de ver más.;https://pluto.tv/latam/live-tv/5dcde1317578340009b751d0/details
Pluto TV Sci-Fi;Desde el espacio exterior llega una señal que transmite las 24hs, todos los días de la semana. Esa señal es Pluto TV SCI-FI. Las mejores películas y series de ciencia ficción y fantasía de la galaxia para explorar los confines del espacio.;https://pluto.tv/latam/live-tv/5f2817d3d7573a00080f9175/details
Pluto TV Velocidad;Pluto TV Velocidad es el canal para los amantes de los autos y la adrenalina. Con una programación dedicada a los fanáticos de los motores, abróchate el cinturón y prepárate para disfrutar de un viaje a toda velocidad.;https://pluto.tv/latam/live-tv/5dd6dc7480e3550009133d4a/details
Pluto TV Novelas;Te ofrecemos el catálogo más completo de novelas en tu idioma, gratis, para verlas cuando quieras y donde quieras. Las novelas que te acompañan a lo largo del tiempo, las memorables. Las que te conmueven. Historias poderosas. Emotivas. Actuales.;https://pluto.tv/latam/live-tv/5dcde0cc2efd2700090b7ff4/details
Pluto TV Ciencia;Los sucesos científicos más asombrosos, entrevistas a los más reconocidos personajes de la ciencia, experimentos y mucho más, las 24 hs, los 7 días de la semana.;https://pluto.tv/latam/live-tv/5dd8364ea1d6780009929902/details
Naruto;Acompaña a Naruto en sus increíbles aventuras camino a convertirse en el gran Hokage de su aldea. Gratis para ti un canal donde las 24 horas están dedicadas al mítico ninja. Disfruta de Naruto en Pluto TV.;https://pluto.tv/latam/live-tv/5ee92e72fb286e0007285fec/details
Pluto TV Retro Cartoons;Pluto TV Retro Cartoons: Enciende la máquina del tiempo y viaja a la época de las mejores animaciones. Vuelve a ser un niño mirando las caricaturas que marcaron tu vida: Popeye, Betty Boop, Flash Gordon y mucho más. Solo en Pluto TV.;https://pluto.tv/latam/live-tv/60142258a54aeb0007751c15/details
Rugrats;La amistad, los sueños y las ganas de seguir descubriendo el mundo en Rugrats.;https://pluto.tv/latam/live-tv/5ea7215005d66d0007e8128a/details
Susana Giménez;Susana y Pluto TV repasan 30 años de historia. Desde sus sketchs , los talentos freaks, las entrevistas a estrellas conocidas mundialmente, las perlitas y los musicales de artistas nacionales e internacionales junto a los juegos que hicieron historia.;https://pluto.tv/latam/live-tv/6132429ec9e0db0007a91425/details
Conciertos por Stingray;Llegaron los conciertos y documentales musicales a Pluto TV con las estrellas de hoy y las leyendas de siempre como Queen, Bruce Springsteen, Enrique Iglesias, Imagine Dragons, Katy Perry y muchos más, solo en Pluto TV Conciertos por Stingray.;https://pluto.tv/latam/live-tv/5f85ca40eda1b10007b967cd/details
La Academia;Disfruta del reality de música más importante de México, La Academia, donde jóvenes cantantes compiten semana a semana con emocionantes conciertos y críticas en donde el público vota por su alumno favorito.;https://pluto.tv/latam/live-tv/665fb022f78a8500095965a9/details
Claro Sports Mexico;Disfruta de la mejor cobertura deportiva en Latinoamérica, producciones propias y eventos exclusivos, a través del canal Claro Sports en Pluto TV.;https://pluto.tv/latam/live-tv/6320d2755e54db000783fd87/details
Pluto TV Anime;La mejor animación oriental está en Pluto TV Anime. Con historias adultas, atrapantes y divertidas, acompañadas por una animación de excelente calidad. Descubre nuevas series o vuelve a ver los clásicos de los que te enamoraste.;https://pluto.tv/latam/live-tv/5dcde17bf6591d0009839e02/details
Runtime;Runtime es un canal en donde podrás disfrutar de las mejores series y películas protagonizadas por los más grandes actores y actrices de Hollywood. Si buscas acción, comedia, suspenso, drama o romance los vas a encontrar en Runtime.;https://pluto.tv/latam/live-tv/62c5d80dc6de440007e033eb/details
Pluto TV Cine Crimen;En Pluto TV Cine Crimen nadie es inocente. 24 horas de películas en las que los protagonistas solo tienen dos objetivos: Romper la ley y salir impunes. Aquí encontrarás a culpables e inocentes. Quédate para descubrir si el crimen siempre paga.;https://pluto.tv/latam/live-tv/624af40c004f8000079b784d/details
Beyblade;El popular anime Beyblade está en Pluto TV. Acompaña a Tyson y su equipo, los Bladebreakers, en su lucha por convertirse en los mejores bey-luchadores del mundo. Ellos representarán a su país en el mundial de Beyblade ¿podrán lograrlo?;https://pluto.tv/latam/live-tv/632119a92c3b880007d3f5dc/details
