title;description;rating;genre;url
Shopping King Louie;Shopaholic Louis sigue a Louis, un rico adicto a las compras que pierde la memoria y se queda sin hogar. Su inesperado romance con Koh Bok-shil, una humilde campesina, resalta la inestimable naturaleza del amor verdadero más allá de la riqueza material.;PG;Romance;https://pluto.tv/latam/on-demand/series/65ae93dfa40ff7001370015e
Locky Romance;Esta miniserie romántica, basada en un webtoon, explora la improbable historia de amor entre Bo-nee, una mujer supersticiosa que busca a un hombre del año del tigre, y un hombre dedicado a la ciencia y las matemáticas que nunca se interesó por el romance.;PG;Romance;https://pluto.tv/latam/on-demand/series/659570d7478df60013bc672a
Amor Bajo la Luz de la Luna;Lee Young, el príncipe heredero, se enamora de su eunuco político, pero sabe que no puede revelar su sentimiento. Mientras tanto, Raon, el objeto, tiene miedo de que se revele la verdad oculta. ¿Qué son? ¿Amigos o amantes? ¿No deberían haberse conocido?;TV-14;Comedy;https://pluto.tv/latam/on-demand/series/64d2408b334a8a001398cec1
Hwarang: La Juventud Del Guerrero Poeta;Un drama juvenil sobre la pasión y el amor de los Hwarangs que conquistaron Seorabeol, que es la capital de Silla hace 1.500 años.;PG-13;Drama;https://pluto.tv/latam/on-demand/series/61aa62a2a6334f001307c0e7
Healer;Un popular reportero, una periodista que trabaja para un diario de segunda categoría y un misterioso mensajero, se embarcan en una insólita travesía para descubrir qué sucedió años atrás mientras un grupo de amigos operaban una radio emisora pirata.;PG-13;Romance;https://pluto.tv/latam/on-demand/series/623b294825269a0013a925f0
Sueña Sin Limites;¡Una historia de superestrellas que nos gustaría ver próximamente! Los chicos de diversos asisten a la escuela de Kirin, una escuela de arte de élite, aspirando a convertirse en estrellas globales, cultivando sus talentos y superando los desafíos.;TV-14;Musical;https://pluto.tv/latam/on-demand/series/64d10dfc85e5ff00131812c9
A Todos los Chicos Que Me Amaban;No sólo en la pasada, sino también en el presente, es claro que todos los hombres sean iguales. Entonces, Hyeon-ju declaró la soltería. Pero un extraño se acerca a ella de repente. Además. el amigo a quien trata como su hermano, confiesa su amor por ella.;TV-14;Drama;https://pluto.tv/latam/on-demand/series/64d66b86a5aa6e0013a12dba
¿Tú también eres humano?;"Un mundo que te hace querer preguntar ""¿Tú también humano?"", el proyecto público de suplantación humano de Kang Sobong, la apasionade guardespaldas y Nam-shin III, un robot humano de IA que es más humano que los humanos reales.";PG-13;Drama;https://pluto.tv/latam/on-demand/series/61aa62c791347f0013334cdc
Princess Hours;Princess Hours es un drama ambientado en la Corea moderna, con una monarquía constitucional, que se centra en el romance entre un príncipe y una chica común. Explora los retos a los que se enfrentan en su matrimonio arreglado y cómo acaban enamorándose.;PG;Sci-Fi & Fantasy;https://pluto.tv/latam/on-demand/series/65c64a98ecf2e50013a16669
Marriage Contract;Kang Hye-soo, madre soltera, tiene una hija de nueve años que criar, pero le diagnostican un tumor cerebral. Entonces, le ofrecen ser la esposa legal de su jefe Han Ji-hoon por tan solo tres meses.;PG;Drama;https://pluto.tv/latam/on-demand/series/659570d3478df60013bc662e
I'm not a Robot;"Kim Min-gyu, máximo accionista de la mayor empresa financiera del país, no puede salir con ninguna chica porque es alérgico al contacto humano. Un día, un robot llamado ""Aji 3"" llega a su casa. Pero él no tiene idea de que Aji 3 no es un robot.";PG;Romance;https://pluto.tv/latam/on-demand/series/659454cbb2cbaf00135ad2d0
Happy Once Again;La historia se desarrolla para un grupo de chicas de cuento de hadas de la primera generación, ahora bien entradas en sus treintas, y el nuevo capítulo comienza cuando se enredan en vientos inesperados del amor.;PG;Romance;https://pluto.tv/latam/on-demand/series/659454c0b2cbaf00135ad04e
Juda;Juda es un jugador que se gana la vida en el inframundo criminal. Tomando dinero prestado de la mafia francesa para un lugar en un juego de póquer de alto riesgo, gana a lo grande pero la suerte se le acaba cuando se topa con una vampiresa.;R;Thriller;https://pluto.tv/latam/on-demand/series/5fca7c5a1c1caa0013f7ab26
Freaks and Geeks;La experiencia universal de la adolescencia que vivían los viejos fanáticos y geeks en una escuela secundaria de Michigan, alrededor de 1980, es el tema de esta melancólica comedia dramática producida por el ganador del Emmy Judd Apatow.;PG-13;Comedy;https://pluto.tv/latam/on-demand/series/5e6178085c1e25001a269da1
Así en el barrio como en el cielo;"“Así en el barrio como en el cielo"" es un cuento sobre los altibajos de la fortuna y el amor, sobre la impredecible vida. Una historia que pone en evidencia que las personas, sin importar su clase social, se asemejan mucho más de lo que parece.";TV-G;Telenovela;https://pluto.tv/latam/on-demand/series/5e45af8915db0cd28ae51467
Naruto;La Aldea Escondida en las Hojas es el hogar del ninja más sigiloso de la tierra. Pero doce años antes, un temible zorro de nueve colas aterrorizó a la aldea antes de que fuera sometida y su espíritu sellado dentro del cuerpo de un bebé: ¡Naruto Uzumaki!;TV-14;Anime;https://pluto.tv/latam/on-demand/series/5e73b850e40c9f001a0a9fb4
Los archivos del FBI;Producido con la cooperación total del Buró Federal de Investigaciones, Los archivos del FBI dan una mirada semanal a cómo el FBI utiliza la ciencia forense y la determinación absoluta de los investigadores para resolver los casos.;Crime;No hay deficiencias;https://pluto.tv/latam/on-demand/series/5e504c3a9018b9c443cb4551
Daria;Daria Morgendorfferr es una chica inteligente y cínica que se encuentra atravesando la vida de la adolescencia, donde deberá encontrarse con adolescentes estereotipados de la Preparatoria Lawndale y con adultos condecentes y estresados.;TV-PG;Comedy;https://pluto.tv/latam/on-demand/series/5e20986b370805f4c87911aa
Inuyasha;Aome Higurashi conoce a Inuyasha, medio demonio, en el Japón feudal. ¡Su gran aventura comienza!;TV-14;Anime;https://pluto.tv/latam/on-demand/series/64a83d8df56d820013a09168
¡Yu-Gi-Oh! VRAINS;¡Bienvenido al mundo de Yu-Gi-Oh! VRAINS, donde la realidad virtual, la inteligencia artificial y los duelos de alta velocidad se fusionan en un espectáculo de lucha.;TV-G;Anime;https://pluto.tv/latam/on-demand/series/60022cb472b3e1001a660ccc
The New Detectives;Desde los laboratorios forenses del instituto Smithsonian hasta el laboratorio de bombas ATF y el Instituto de Patología de los Armed Forces, THE NEW DETECTIVES describe el trabajo de expertos forenses e investigadores criminales renombrados mundialmente.;TV-PG;Crime;https://pluto.tv/latam/on-demand/series/5e504d6e33df6ec456e4524e
La Familia del Barrio;La serie relata las desventuras de una familia disfuncional mexicana compuesta por Gaspar, el Abuelo, el Noruego y Jonathan en una ciudad ficticia mexicana en un edificio multifamilar llamado PINO.;TV-14;Comedy;https://pluto.tv/latam/on-demand/series/5f1756eb6ebd4d0013287f74
Sin tetas no hay paraíso (ESP);"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.";TV-PG;Telenovela;https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7
Naruto Shippuden;La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!;TV-14;Anime;https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113
The Lost Room;Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.;TV-PG;Sci-Fi & Fantasy;https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5
Sin Identidad;"""Sin Identidad"" cuenta la historia de María, una joven y atractiva abogada madrileña de clase alta que con 27 años descubre que no es hija biológica de sus padres.";R;Thriller;https://pluto.tv/latam/on-demand/series/5e1e5f652139b4fc4b8a71f6
Sin tetas no hay paraíso;Unos senos grandes son la puerta de entrada a un mundo de lujos y extravagancias. Conozca la historia de Catalina, una joven que cegada por su ambición y las malas influencias llegará a un paraíso al que jamás desearía haber entrado.;TV-PG;Telenovela;https://pluto.tv/latam/on-demand/series/5edfffd86e0047001cb878d7
Continuum;Kiera Cameron es una policía del futuro atrapada en el actual Vancouver. Kiera debe sobrevivir en nuestro período de tiempo y evitar que los terroristas alteren la historia lo suficiente como para cambiar el curso del futuro.;TV-14;Sci-Fi & Fantasy;https://pluto.tv/latam/on-demand/series/5f43dc979dd795001ab4ad3f
South Park;La serie satiriza con humor negro la sociedad, actualidad y cultura estadounidense a través de historias y situaciones surrealistas que les suceden a sus protagonistas, cuatro niños residentes en un pueblo ficticio llamado South Park.;TV-MA;Comedy;https://pluto.tv/latam/on-demand/series/60c8f213e301960013db44f8
Archivos Forenses;Archivos Forenses es el programa de crimen verdadero con más tiempo en el aire en la historia de la televisión. Evidencia y entrevistas con expertos ayudan a resolver casos verdaderos, brotes de enfermedad y accidentes alrededor del mundo.;R;Crime;https://pluto.tv/latam/on-demand/series/5e1e5fc52fe6c1fc70e12be6
Suburbios - Mujeres al Borde;Cinco mujeres, cuyo mayor desafío hasta ahora ha sido sobrevivir a sus recorridos diarios de compras de lujo de una hora de duración quemando las tarjetas de crédito de sus maridos.;TV-PG;Drama;https://pluto.tv/latam/on-demand/series/640796585c57fb0013602481
El Asalto;Un robo a un banco entrelaza las vidas del director de la sucursal, un restaurador, una joven policía embarazada, un policía veterano, y una docena de personas. Vivirán varias horas en compañía de cuatro ladrones con perfiles muy diferentes.;PG-13;Action & Adventure;https://pluto.tv/latam/on-demand/series/63ce8bdbe8fb16001a923f0d
Yu-Gi-Oh!;Yu-Gi-Oh! Sigue las aventuras del estudiante de secundaria Yugi, quien tiene un secreto mágico que cobra vida cuando juega su juego de cartas favorito: 'Duel Monsters'.;TV-Y7;Anime;https://pluto.tv/latam/on-demand/series/5f19972aefe562001369966c
Shameless;Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.;TV-MA;Comedy;https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7
La Selección;Faustino realiza las pruebas físicas para asegurar su paso al club Verdolaga y son aprobadas con gran satisfacción. Clarisa toma la decisión de devolverse a Colombia debido al fracaso en su negocio y su mala relación con el Pibe.;TV-14;Telenovela;https://pluto.tv/latam/on-demand/series/5eaadd47a3eeeb001aa62a63
Los Misterios de Praga;Praga, década de 1920. El inspector Budik investiga una serie de asesinatos más atroces.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/64651a58f2a541001b7d2df6
Las Muertes de Medusa;A raíz de una serie de asesinatos violentos, un equipo de investigación élite de homicidios descubre una poderosa organización criminal.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/64651d32a7ef77001a744d1d
