title;description;rating;genre;duration;url
La Dama del Corvette;Una poderosa organización de narcotraficantes no se imagina que una hermosa mujer siempre a bordo de su inseparable Corvette es imparable a la hora de cobrarse a sangre fría las cuentas pendientes.;TV-MA;Action & Adventure;1hr 23 min;https://pluto.tv/latam/on-demand/movies/5e5d702b407e62001baa9353/details
Marcelo, la mafia y la estafa;Marcelo ha renegado su pasado italiano, pero sorpresivamente hereda todas las deudas de su difunto y mafioso “nonno”. Ahora deberá aprender del negocio familiar para pagar todo el dinero que debe a la mafia coreana y turca.;TV-14;Comedy;1hr 31 min;https://pluto.tv/latam/on-demand/movies/5faef60ffd17cc001a011ea9/details
Madres Michoacanas;Con la llegada de grupos armados a Michoacán sembrando el terror y muerte, Las madres temen por las vidas de sus hijos ya que intentan ser reclutados por los lideres de los grupos criminales.;PG-13;Crime;1hr 31 min;https://pluto.tv/latam/on-demand/movies/627124985bbb230014b8006b/details
Los Dos Rivales;Los Treviño y Los Guereña mantienen una rivalidad originada muchos años atrás. Por necesidad de dinero, el heredero de los Treviño, y la heredera de los Guereña, tienen que disfrazarse usando ropa del sexo opuesto para proteger y vender sus ranchos.;Comedy;1hr 23 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/5ffce1325361860013205769/details
El barón del terror;Una víctima de la inquisición del siglo XVII regresa 300 años después como una bestia devoradora de cerebros a cobrar venganza.;Horror;1hr 17 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/61ba0edfc323f20013e95dfd/details
Redencíon;Se está remodelando un edificio histórico en la Ciudad de México, provocando el desalojo de sus habitantes. Las historias contadas por un grupo de constructores sirven como evidencia, por lo que el responsable comprende la importancia de su decisión.;PG;Drama;1hr 34 min;https://pluto.tv/latam/on-demand/movies/60db72d518f85d00145bbb61/details
Operación Carambola;El falso agente de seguridad Ayala, nombra a Capulina como su ayudante numero 13, para preparar la operación carambola. Capulina se da cuenta que él es carnada del criminal y decide unirse a los otros agentes para acabar con la organización.;Comedy;1hr 26 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/5ffce21450e458001a795abf/details
Secuestro;Un día de compras se convierte en una pesadilla para Camila cuando una banda de secuestradores la privan de su libertad. Las cosas se complican después de que Diego esposo de Camila intenta rescatarla.;PG-13;Thriller;1hr 30 min;https://pluto.tv/latam/on-demand/movies/6271248a5bbb230014b7ffba/details
En Mis Propias Manos;Una mujer esposa de un policía es abusada, golpeada, ultrajada mental y físicamente otros policías sospechan que algo esta pasando pero la mujer tiene temor de hablar y acusar a su abusador.;PG-13;Thriller;1hr 54 min;https://pluto.tv/latam/on-demand/movies/625db12078f6d300136fe07b/details
María Montez;"Era conocida como ""La reina del tecnicolor"" en Hollywood y Europa, pero a medida que se hacía más famosa, se sentía más vacía. Un startlet que no podía encontrar el amor o la felicidad hasta que fué demasiado tarde.";Drama;1hr 39 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/5e5051d32c0b02c60a6f6d63/details
Mafia Contra Mafia;Un respetable empresario dueño de una mueblería llamado Don Lorenzo molesto con el narcotráfico apoyan monetariamente al comandante y su gente para que acaben con un traficante llamado Ricardo.;PG-13;Crime;1hr 18 min;https://pluto.tv/latam/on-demand/movies/628fbbf09366e5001aed4b03/details
Desastres naturales;Una profesora que ama su trabajo se niega a la idea de la jubilación, hasta que un día se encuentra con que ha sido reemplazada por alguien mucho más joven y junto con un grupo de estudiantes inicia una protesta para exigir ser restituida como profesora.;Comedy;1hr 15 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/61e192e242817b001a92634d/details
Mujeres de la Noche;Mujeres secuestradas en la frontera son obligadas a prostituirse, pero un grupo de policías investiga y lucha para liberarlas y así poner fin a esta pesadilla;PG-13;Thriller;1hr 48 min;https://pluto.tv/latam/on-demand/movies/6228dfe6ad8640001a456d8d/details
Las 500 Libras;Un importante criminal decide apoderarse de la plaza de un famoso narcotraficante, asesina a su hijo y provoca una guerra sangrienta entre sicarios.;PG-13;Crime;1hr 44 min;https://pluto.tv/latam/on-demand/movies/629799f02fbef4001381d256/details
Cuidado con el Amor;Pedro, con la ayuda de dos mejores amigos de su padre busca un Tesoro enterrado en una hacienda colonial. Elsa y su madre quieren impedirlo. Al fin el amor interviene y Pedro y Elsa comparten la fortuna y su felicidad.;TV-G;Romance;1hr 36 min;https://pluto.tv/latam/on-demand/movies/5e5851ba5c7c10001a6007b9/details
Los Viejones de Guanajuato 2;Los Ramírez traen paz a Rancho Seco después de terminar con todos Los García o eso es lo que ellos creen hasta que vuelve Benjamín el hijo mayor de Los García y esta vez a regresado con una banda del crimen organizado decidido a cobrar venganza.;PG-13;Action & Adventure;1hr 54 min;https://pluto.tv/latam/on-demand/movies/62713ddd55812e0013e9fe57/details
Jesús, el niño Dios;La tierna historia de la infancia de Jesucristo, desde la Anunciación, la Natividad, la Visita de los Tres Reyes Magos, la Matanza de los Inocentes ordenada por el Rey Herodes y la Huida de la Sagrada Familia a Egipto.;TV-G;Drama;1hr 25 min;https://pluto.tv/latam/on-demand/movies/5e5d702bec9dd6001a992fa1/details
Devuelveme la vida;Mia, una mujer adicta a las drogas, se descuida a sí misma y a su hija Camila. Ella se sumerge en la venta de drogas con su amiga Daisy, mientras que su hija lucha para rescatarla.;TV-MA;Drama;1hr 34 min;https://pluto.tv/latam/on-demand/movies/6021419ddc6117001bb33a22/details
Yo , Frankenstein;La criatura de Frankenstein se encuentra atrapada en una guerra total de siglos de antigüedad entre dos clanes inmortales.;PG-13;Action & Adventure;1hr 32 min;https://pluto.tv/latam/on-demand/movies/6317a122bb171a00130f81c7/details
Steel City;Durante un invierno del Medio Oeste, dos hermanos de clase trabajadora deben lidiar con su padre recientemente encarcelado.;R;Thriller;1hr 35 min;https://pluto.tv/latam/on-demand/movies/6024362f8d35a80013ee1a06/details
Actividades criminales;Cuatro amigos se reúnen en el funeral de un ex compañero. Allí uno de ellos comenta sobre una inversión que los podría convertir en millonarios. Por desgracia la inversión sale mal y uno de los amigos confiesa que pidió prestado plata a un mafioso.;R;Thriller;1hr 33 min;https://pluto.tv/latam/on-demand/movies/5e6ff36c4698db001ab3de19/details
El Experimento;Remake de la película alemana de 2001 Das experiment dirigida por Oliver Hirschbiegel. Cuenta la historia de 20 hombres que llegan a una cárcel ficticia buscando la forma de ganar dinero rápido. Deberán participar en un experimento sociológico.;R;Thriller;1hr 36 min;https://pluto.tv/latam/on-demand/movies/5f7b87bfe4b56900138b8256/details
Mata a la caballería;En una misión para eliminar al general Joseph Wheeler de C.S., Kilpatrick diseña un plan para apoderarse de la pequeña ciudad de Barnwell.;Action & Adventure;1hr 20 min;No hay deficiencias;https://pluto.tv/latam/on-demand/movies/60ba3cda494953001391261a/details
Serena;En la Carolina del Norte de los Años 20, el futuro del imperio maderero de George Pemberton se complica cuando se casa con Serena.;R;Romance;1hr 49 min;https://pluto.tv/latam/on-demand/movies/5e0a2bf7be8fa6764e877093/details
Rescate Sangriento;Un ganster ruso retirado, actualmente escritor de novelas, es tentado a volver a la vida criminal cuando descubre que su hija va a casarse con el hijo de su enemigo.;TV-14;Crime;1hr 38 min;https://pluto.tv/latam/on-demand/movies/60c8abc436537d001332099c/details
Bus 657: El Escape del Siglo;Un padre no tiene los medios para pagar el tratamiento de su hija. Como último recurso se asocia con un codicioso compañero de trabajo para robar un casino. Cuando las cosas van mal se ven obligados a secuestrar un autobús de la ciudad;R;Action & Adventure;1hr 32 min;https://pluto.tv/latam/on-demand/movies/62cc65397abcdc0013991d69/details
Consigue un Trabajo;Miles Teller, Anna Kendrick y Bryan Cranston protagonizan esta comedia fresca y perversamente divertida sobre conseguir un trabajo en una economía difícil.;R;Comedy;1hr 22 min;https://pluto.tv/latam/on-demand/movies/5fc918112fd74a0014cd906d/details
La jugada maestra;Ambientado durante la Guerra Fría, el campeón de ajedrez norteamericano Bobby Fischer se encuentra atrapado entre dos superpotencias y sus propias luchas mientras desafía al Imperio Soviético.;PG-13;Drama;1hr 55 min;https://pluto.tv/latam/on-demand/movies/62ffb0b3362313001aaa7ad0/details
What Just Happened;Una semana en la vida de Ben, un poderoso productor de Hollywood, mientras hace malabarismos con las negociaciones con un director de estudio para que su última película pueda estrenarse en Cannes en dos semanas.;R;Comedy;1hr 44 min;https://pluto.tv/latam/on-demand/movies/62b336542fbef40013892986/details
El árbol de la vida;La historia de una familia en Waco, Texas en 1956. El hijo mayor es testigo de la pérdida de la inocencia y lucha con las enseñanzas contradictorias de sus padres.;PG-13;Drama;2hr 18 min;https://pluto.tv/latam/on-demand/movies/6310fba36e998c00133133e8/details
Tres Ladrones y un Bebé;Fong es un ladrón con mala suerte. Con unas habilidades excepcionales, Fong siempre pierde todas sus ganancias en sus robos de apuestas. Su gran oportunidad llega cuando un gángster les pide a él y a su compañero pulpo que secuestren a un importante bebé.;TV-14;Action & Adventure;2hr 6 min;https://pluto.tv/latam/on-demand/movies/641c6c5f1a5081001a49be52/details
Rambo 4;El veterano de Vietnam John Rambo ha sobrevivido a muchas pruebas terribles en su vida y desde entonces se ha retirado a una isla simple y aislada en Tailandia, donde pasa su tiempo capturando serpientes para artistas locales.;R;Action & Adventure;1hr 31 min;https://pluto.tv/latam/on-demand/movies/5e552dc35c1e25001a24f31a/details
