serie;episode;episode_description;season
Flames of Desire;I will... become rich.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Don't worry. I will start again!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I will fight. So, I will seize what I want!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I will raise you, as my own child;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I promised not to appear in front of Minjae again!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I hate this world!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I want to make Minjae the happiest person in the world!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I will take that secret with me to my grave!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Come close to my side. If you want to survive.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I said I don't care about the past, right? It doesn't matter;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;That's not the place for you to be!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I promise. Until we become the best, I won't think of anything else.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I want to see something different. A world I don't know;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Yeah... We should have ended it back then!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I will fill my head with happy memories!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I can't go back to the past!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;For that child, I'm willing to do anything!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'm going to go back to the beginning for the first time!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Don't ruin my future even further!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'm curious too... about who I am.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I don't want to suffer anymore!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I can't compromise on this one;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I won't stand still against anyone blocking my way!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Regardless of what anyone says, you are Min Jae's son;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I've been waiting for you. Hoping that you would solve the problem;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I've been thinking about how we can make Min Jae happy!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Min Jae is everything in my life!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I told you, for me, there's only one person who is my mom;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I just wanted to live, cherishing the longing in my heart.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'm sorry, Mom. I couldn't fulfill your wish.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;There's no one on my side in this world;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;What else do you have to hide?;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I didn't want to submit to such a fate!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'll go to hell with you!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;If you want, we'll have to fight;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I don't want to lose my father, either.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;No one can tear us apart!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Don't worry. I'll survive just like Mom;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;As Father advised, I'll do it. For the sake of Min-jae;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;You've created this hell, so we should go together.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Everything is unfolding according to Father's plan;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;It's hard to believe the chairman would have such a thing. Compassion, after all, is unlikely;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;You don't need to do that. Hell, I have to go alone;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'm going to put everything back in its place;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Wait, when the time comes, I'll walk out on my own.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Mom, I wanted to show you this side of me;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I'll tell you everything. Who Baek In-gi is;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;I won't let tears come again. Mom will protect you.;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;This time, I will hold Chairman's hand and go to hell with him;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Flames of Desire;Throughout my life, I've lived dreaming of today!;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;1
Weightlifting Fairy, Kim Bok-joo;But wait, have we met before? You look familiar.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Nice to see you again! Let's meet again, Tubby~!;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Is it because of me that we had a fight?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;"Sai looks really pretty; they make a good couple.";Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Do you really like our hyung that much?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Why are you going to the obesity clinic?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;I... like the teacher.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Are you coming again, love.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Did you like me in the past?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Why do you make me care so much?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;I guess I'm doing that, dating.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Why? Did your heart flutter?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
